Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Dom Bess to du Plessis, no run," flatter and on leg stump, worked off the back foot towards mid-wicket"
Dom Bess to du Plessis, no run," fuller and outside off, Faf reaches out and smothers it"
Root to van der Dussen, no run," round-armish slider that squares up van der Dussen as he defends with soft hands, off the outside half to slip"
Root to van der Dussen, no run," spilled flatter, shorter and well down the leg-side. Left alone"
Root to van der Dussen, no run, nearly carried to short leg! Root finally gets one full and van der Dussen isn't that comfortable on the front foot. Lunges to defend and gets a bat-pad that lands short of Pope
Root to van der Dussen, no run," quicker and shorter outside off, punched off the back foot to mid-off"
Root to van der Dussen, no run," flattish off break outside leg stump, spins further down"
Root to van der Dussen, no run," quicker one on leg stump, van der Dussen stays back and defends"
Dom Bess to du Plessis, no run," extra bounce on the off break, hits Faf on the glove as he looks to defend"
Dom Bess to du Plessis, no run," flatter one on middle and leg, worked off the back foot towards short leg"
Dom Bess to du Plessis, no run," looped up fuller on off stump, blocked off the inside half towards short leg"
Dom Bess to du Plessis, FOUR, a mishit but well over mid-on and it races away to the fence. du Plessis charged down for the loft and went through the shot despite not being to the pitch. Ensured that he went hard and this squirted off the inside half
Dom Bess to du Plessis, no run," fuller and on leg stump, nurdled with soft hands towards mid-wicket"
Dom Bess to du Plessis, no run," drifting in on middle and leg, blocked with soft hands towards mid-wicket"
Root to van der Dussen, no run," quicker one on leg stump, worked away off the back foot to square leg"
Root to van der Dussen, no run, beaten! Drifting across van der Dussen who hangs back to defend but this whizzes past the outside edge
Root to van der Dussen, no run," quicker and fuller outside off, firmly driven off the front foot to mid-off"
Root to van der Dussen, no run," sliding in on middle and leg, van der Dussen lunges forward and dead bats it"
Root to van der Dussen, no run," fired fuller on leg stump, wristed firmly but short leg makes a good stop"
Root to van der Dussen, FOUR," loose ball, short and on leg stump, van der Dussen rocks back to whip this away into the gap at mid-wicket"
Dom Bess to du Plessis, no run," drifting in from a good length, Faf camps back and blocks"
Dom Bess to du Plessis, no run," fuller and on leg stump, worked with soft hands towards mid-wicket"
Dom Bess to du Plessis, no run," drifting in on middle and leg, Faf hangs back and blocks"
Dom Bess to du Plessis, no run," flatter and outside off, Faf reaches out and smothers it out"
Dom Bess to du Plessis, no run, waste of a review really! Didn't look close in real time either but Bess was adamant and Root wanted his man-of-the-moment to have his wish. Was a ripping off break that beat the inside edge to ping Faf on the front pad. Impact was alright but the degree of turn was always going to save him. And it did. HawkEye showed it to be going down leg comfortably. England have lost their reviews
Dom Bess to du Plessis, no run," drifting in on middle and leg, nudged gently towards short leg"
Root to van der Dussen, no run, almost sneaked through! Drifting across van der Dussen who is beaten neck and crop on the outside edge. Dangerously close to the off pole. Whoa!
Root to van der Dussen, no run," quicker one around leg stump, van der Dussen withdraws the flick and it goes off the pads past leg gully"
Root to van der Dussen, no run," looped up off break around leg stump, padded away towards short leg"
Root to van der Dussen, no run," sliding in on leg stump, van der Dussen camps back and defends"
Root to van der Dussen, no run," quicker one on leg stump, van der Dussen tucks it aerially but it flies past short leg in a jiffy towards square leg. Good luck catching these!"
Root to van der Dussen, no run," flatter and well down the leg-side, no shot offered by van der Dussen"
Dom Bess to du Plessis, no run, flatter and angled into Faf who taps this off the back foot towards square leg
Dom Bess to du Plessis, byes," 2 runs, real bite on this off break, spins well down leg, beating Faf's flick and deflecting off Buttler's gloves towards fine leg"
Dom Bess to du Plessis, no run," thrown up fuller outside off, jammed out back towards Bess"
Dom Bess to du Plessis, no run," floated up on off stump, Faf reaches out and taps this towards short leg"
Dom Bess to du Plessis, no run, sharp turn on the off break and it goes well down the leg-side
Dom Bess to du Plessis, no run," drifting in on middle and leg, worked with soft hands to short leg"
Root to van der Dussen, no run," sliding in on leg stump, nudged off the back foot towards mid-wicket"
Root to van der Dussen, no run," fired fuller on leg stump, worked gently towards the man at mid-wicket"
Root to van der Dussen, no run," a near scare for van der Dussen! Lunged forward, expecting an off break but this straightened just enough to ping the front pad. Looked a good shout in real time and Root opted for the review. Clearly no bat involved, but HawkEye shows it to be going over the sticks. Height was the only thing that could have saved van der Dussen and it did"
Root to Pieter Malan, no run," vert leg-lined, and gets clipped in between short leg and leg slip"
Root to Pieter Malan, no run," across, clearing out the front leg, adopting his defence"
Dom Bess to du Plessis, no run, goes round the wicket and drifts it across. Nothing different. Just the reaching forward blocks
Dom Bess to du Plessis, no run," spits in extra, taking the soft gloves in the tuck, short of leg slip"
Dom Bess to du Plessis, no run," presses in front, but quickly transfers his weight behind and blocks down the pitch"
Dom Bess to du Plessis, no run," half-cocked in front, closing the bat face and softly nurdling round the corner"
Slip. Sitting leg-slip. Short leg. Over the wicket., no run," half-cocked in front, closing the bat face and softly nurdling round the corner"
Dom Bess to du Plessis, no run," shuffle, forward settle, wristy smother"
Dom Bess to Pieter Malan, 1 run," back, away, punching on the up through sweeper"
Dominic Bess [6.0-3-3-0] is back into the attack, 1 run," back, away, punching on the up through sweeper"
The skies seem really clear now. The sea seems to have settled down as well., 1 run," back, away, punching on the up through sweeper"
Root to du Plessis, no run," spins in past the defence, and an optimistic LBW shout. It's pitching down leg and spinning further down"
Root to du Plessis, no run,
Root to du Plessis, no run," back, opening up his stance and glancing off his hips to backward square leg"
Root to du Plessis, no run," leans out in wanting to nudge round the corner, but Root extracts some bounce here, rapping the gloves"
Root to du Plessis, no run," too full, getting Faf striding to the pitch of it in defence"
Round the wicket stuff. Slip. Leg-slip. Short leg., no run," too full, getting Faf striding to the pitch of it in defence"
Root to du Plessis, no run, jumps backwards and stoops down in a hurry to jab it away
Stokes to Pieter Malan, no run," 140kph, fuller, on off, and gets another reaching forward defence"
Stokes to Pieter Malan, no run," takes a shoulder blow. Stokes goes short, and Malan half ducks, half freezes. Yea, the freeze wins. But he'll live on. And there's no flinching whatsoever either, not even worth concern from the fielders"
Stokes to Pieter Malan, no run," 139kph, length, on off, an opened poke, backward point"
Stokes to Pieter Malan, no run," 139kph, shuffles now, getting behind the line in blocking down the pitch"
Two slips. Two short legs., no run," 139kph, shuffles now, getting behind the line in blocking down the pitch"
Stokes to Pieter Malan, no run," 138kph, cuts back into the tummy, hurried nudge, soft, round the corner"
Stokes to Pieter Malan, FOUR," juicy overcook .. and Malan doesn't look to overhit. He knows. Leaning in,quietly checking his punchy drive, straight down"
Dom Bess to du Plessis, no run," looped further up, drawing du Plessis in front with the smother"
Dom Bess to du Plessis, no run," more intent in the tuck, manages to get it past short leg as well. But no, there's a second line of defence in square leg"
Dom Bess to du Plessis, no run," a shuffle, softly nudging it to the sitting-on-the-knees leg-slip"
Dom Bess to Pieter Malan, 1 run," more big in-spin, and now Malan triggers in front, before going back as usual and steeing his punch through point"
Dom Bess to Pieter Malan, no run," rocks further behind, getting cramped up for room now in a committed stab away to off"
Slip. Silly point. Leg-slip. Short leg., no run," rocks further behind, getting cramped up for room now in a committed stab away to off"
Dom Bess to Pieter Malan, no run," spinning in on middle from outside off, but short enough in length for Malan to rock behind and work it softly to short leg"
Unofficial drinks., no run," spinning in on middle from outside off, but short enough in length for Malan to rock behind and work it softly to short leg"
Stokes to du Plessis, no run," tight, top of off, just defences"
Two slips. Gully. Short leg., no run," tight, top of off, just defences"
Stokes to du Plessis, no run," 140kph, bouncer, but the early indications show it to be going down leg for Faf to duck early. And it does"
Stokes to du Plessis, no run," 140kph, length, top of off, leaning forward block"
Stokes to du Plessis, no run," 136kph, shuffles, settles behind the line, stoopy with the late opened up dab in defence"
Stokes to du Plessis, no run," 136kph, more away-seam, now starting on off and forcing Faf to play at -- which he does after hanging back in his crease and dropping sternly by his feet"
Stokes to du Plessis, no run," 144kph, fifth-stump, threatening to angle in but seaming away then. Never mind, Faf's too old to be fooled by these, leaving"
Dom Bess to du Plessis, byes," 1 run, fired short and well down leg, Faf misses the back foot pull and Buttler cannot gather it cleanly either"
Dom Bess to du Plessis, no run," slow turn on the off break, Faf leans forward and adjusts to tap this past short leg"
Dom Bess to du Plessis, no run," big turn on this off break, spins well down the leg-side"
Dom Bess to du Plessis, no run," fuller and around off stump, Faf presses forward and smothers this"
Dom Bess to Pieter Malan, 1 run," flatter and fuller around off, jammed out towards wide mid-off"
Dom Bess to Pieter Malan, no run," walks down the track to convert this into a full toss, driven firmly and it hits silly point hard before deflecting towards cover"
Stokes to du Plessis, no run," fuller and outside off, Faf presses forward and blocks it out"
Stokes to du Plessis, no run," nice sharp bumper, Faf does well to evade it in time"
Stokes to du Plessis, no run," widish outswinger, Faf stays back and lets it pass"
Stokes to du Plessis, no run," another in-cutter, Faf is pinned on the crease again and this time gets pinged on the back thigh"
Stokes to du Plessis, no run," kicks up from a shorter length, surprises Faf who does well to fend this with one hand coming off, towards square leg"
Stokes to Pieter Malan, 1 run, angled into Malan who clips this away behind square leg
Dom Bess to du Plessis, no run," hurries Faf with another fizzy slider, tucked off the back foot to short leg"
Dom Bess to du Plessis, no run," sliding in on middle and off, Faf sits deep in the crease and blocks"
Dom Bess to du Plessis, no run," nicely tossed up, lures Faf forward and is solid in defence"
Dom Bess to du Plessis, no run," quicker and spinning in a bit, Faf hangs back and pats this to short mid-wicket"
Dom Bess to du Plessis, no run," flattish off break, spins in a bit, blocked off the inside half towards backward square leg"
Dom Bess to du Plessis, no run," tossed up fuller outside off, dug out towards mid-on"
Stokes to Pieter Malan, no run," kicks up a bit from a good length, Malan stays back and defends softly towards point"
Stokes to Pieter Malan, no run," full and attacking the off stump, Malan gets his front foot out of the way and defends"
Stokes to Pieter Malan, no run," fuller and straighter this time, kept out with a gentle forward press"
Stokes to Pieter Malan, no run," honing in around the off stump channel, Malan watchfully lets it pass"
Stokes to Pieter Malan, no run," quite full and outside off, Malan reaches out and leaves it alone"
Stokes to Pieter Malan, no run," banged in short on middle and leg, Malan ducks under it"
Dom Bess to du Plessis, no run," ripping turn again on this off break, Faf stays back to flick but this goes off the pads and leg slip goes well to stop it"
Dom Bess to Pieter Malan, 1 run," fuller and outside off, Malan defends with soft hands behind point"
Dom Bess to Pieter Malan, no run," sharp turn on this off break, Malan hangs back and clips it towards short leg"
Dom Bess to Pieter Malan, no run," sliding in from around off stump, Malan camps back and blocks"
Dom Bess to Pieter Malan, no run," use of the feet this time by Malan but ends up getting a bat-pad on it. Fortunately, there is no silly point"
Dom Bess to Pieter Malan, no run," quicker one on leg stump, Malan stays back and defends towards short leg"
Stokes to du Plessis, no run," fourth stump line, wider and Faf lets it through to the keeper"
Stokes to du Plessis, no run," short of a length outside off, Faf gets across slightly and shoulders arms"
Stokes to du Plessis, no run," back of a length outside off, Faf rocks back and defends"
Stokes to du Plessis, 2 runs," shortish and wider outside off, Faf stands tall and pats this through the point region"
Stokes to du Plessis, no run," just past the off stump! Full and decks in a fraction from a length, Faf makes a brave leave"
Stokes to du Plessis, 2 runs, shorter and angling into Faf who gets this more off the glove than anything else. Went away very fine down the leg-side
Dom Bess to Pieter Malan, no run, fired fuller at Malan who tries to come down the track but gets cramped. Squeezed out towards mid-wicket
Dom Bess to Pieter Malan, no run," quicker off break, spins in from middle and leg, tapped off the back foot to short leg"
Dom Bess to Pieter Malan, no run," flattish off break, Malan sits deep in the crease and nudges this to short leg"
Dom Bess to Pieter Malan, no run," shortens the length this time, Malan rocks back and defends"
Dom Bess to Pieter Malan, no run," gets it fuller again, flatter trajectory, bunted firmly to mid-off"
Dom Bess to Pieter Malan, no run," floated up outside off, too full and dug out towards short cover"
Mark Wood to du Plessis, no run," nips in sharply from a good length, Faf trusts the length and shoulders arms"
Mark Wood to du Plessis, FOUR," sublime timing! Too early to say but Faf seems to be in solid touch here from ball one. This was short and a touch wide, Faf just hung back and punched this through the gap at cover. Used the pace of the bowler beautifully"
Mark Wood to du Plessis, no run," back of a length outside off stump, Faf sits back and lets it pass"
Mark Wood to du Plessis, no run," seams away from a length, good pace but this is quite wide, left alone"
Mark Wood to du Plessis, no run, banged in short and Faf rises on his toes to fend this towards cover
Mark Wood to du Plessis, no run, well-directed bumper and Faf watches it closely before swaying out of the way
Faf du Plessis' last 8 innings in Tests: 5,1," 4, 29, 20, 1, 19, 8 (last) | 87 runs at avg of 10.88"
Dom Bess to Pieter Malan, no run," quicker one outside off, Malan stays back and taps it towards the off-side"
Dom Bess to Pieter Malan, no run," more flight, wider outside off, Malan walks down and defends to short cover"
Dom Bess to Pieter Malan, no run," quicker one on middle and leg, Malan sits back to this and gets his bat down just in time"
Dom Bess to Pieter Malan, no run," fuller and outside off, Malan reaches out and defends it out"
Dom Bess to Pieter Malan, no run," appeal for bat-pad but no willow on this one. Loopy off break, spins past Malan's flick and lobs up off the pads. Taken at short leg but it doesn't matter"
Dom Bess to Pieter Malan, no run," flatter and fuller, jammed out towards cover"
Mark Wood to du Plessis, FOUR," tries the yorker but ends up feeding a wide low full toss to Faf who tries the square drive, only to end up slicing it between gully and backward point"
Mark Wood to du Plessis, no run, pitched up this time and Faf checks his punchy drive towards extra cover
Mark Wood to du Plessis, no run," on the shorter side this time, the line isn't threatening enough and Faf evades it with ease"
Mark Wood to du Plessis, no run," fuller and outside off, Faf leans into another solid defensive push"
Mark Wood to du Plessis, no run, full and angling into Faf who presses forward to defend solidly
Broad to Pieter Malan, no run," another in-angler, on a good length and Malan gets behind the line nicely to defend"
Broad to Pieter Malan, no run," slanting into Malan from around off stump, blocked out towards cover"
Broad to Pieter Malan, 2 runs, quite fuller and Malan eases it with a dead straight bat towards Broad who gets his boot in the way. Ends up deflecting it through the vacant mid-off region as extra cover chases it down
Broad to Pieter Malan, no run," goes fuller and outside off, Malan reaches out and drives firmly to extra cover"
Broad to Pieter Malan, no run," seams away from a good length, Malan leans across and taps this towards point"
Broad to Pieter Malan, no run," shortish and outside off stump, Malan gets across a bit and lets it pass"
Mark Wood to Zubayr Hamza, 2 runs," back of a length outside off stump, Hamza stands tall and bunts this through the gap at cover"
Mark Wood to Zubayr Hamza, no run, back of a length angling into Hamza who taps this towards short leg
Change in the field. Two slips and a gully now in place., no run, back of a length angling into Hamza who taps this towards short leg
Mark Wood to Zubayr Hamza, no run," shortish and around off stump, Hamza evades it in time"
Mark Wood to Zubayr Hamza, no run," beaten on the inside edge! Cuts back in from a length at 144kph, Hamza is late on getting his bat down in time"
Mark Wood to Zubayr Hamza, no run," pacy and short but this is sliding well down the leg-side, easy leave"
Mark Wood to Zubayr Hamza, no run," banged in short on middle and leg, doesn't rise as much, blocked from the crease"
Broad to Pieter Malan, no run," fuller and straighter around off stump, kept out nicely off the front foot"
Broad to Pieter Malan, no run," continues to probe on that fourth stump channel, Malan is happy leaving"
Broad to Pieter Malan, no run," widish line on this full outswinger, Malan leans across and lets it through"
Broad to Pieter Malan, no run, pitched right up and Malan leans into an open-faced block towards point
Broad to Pieter Malan, no run," away seamer from a good length, Malan watches it go past him"
Broad to Pieter Malan, no run, full and angling into Malan who defends off the front foot
Mark Wood to Zubayr Hamza, no run," fuller and sliding just down the leg-side, Hamza is unable to connect the leg glance"
Mark Wood to Zubayr Hamza, no run," aerial but just wide of short leg! Pacy, shortish and on leg stump as Hamza tries to tickle this away. Bat-pad but it's beyond Pope's reach and far away from leg gully"
Mark Wood to Zubayr Hamza, no run," shorter and on leg stump, Hamza rises on his toes to control the bounce with a tap towards square leg"
Mark Wood to Zubayr Hamza, no run," dug in short, around off stump and Hamza is forced to sway away"
Mark Wood to Zubayr Hamza, no run," pacy and shortish outside off stump, Hamza shoulders arms"
Broad to Pieter Malan, no run," on a good length just outside off, probing line, left alone"
Broad to Pieter Malan, no run," fourth stump line and full, Malan walks across and shoulders arms"
Broad to Pieter Malan, no run," fuller outswinger once again, Malan lets it through"
Broad to Pieter Malan, no run," fuller and wider outside off, hint of outswing, left alone"
Broad to Pieter Malan, no run," angling into Malan from around off stump, Malan stands tall and defends"
Broad to Pieter Malan, no run," shortish and keeps a bit low, Malan taps this towards cover and goes down the track slightly for the single. Rightly sent back by Elgar"
Broad to Elgar, no ball," 1 run, fuller and curving into the pads, glanced away down towards fine leg. Broad has overstepped"
Stuart Broad [3.0-2-1-0] is back into the attack, no ball," 1 run, fuller and curving into the pads, glanced away down towards fine leg. Broad has overstepped"
It looks brighter than it was over the last few hours. That's a positive., no ball," 1 run, fuller and curving into the pads, glanced away down towards fine leg. Broad has overstepped"
Mark Wood to Elgar, 1 run, shortish and angling into Elgar who rises to tap this gently towards the cover-point region
13:59 Local Time, 11:59 GMT," 17:29 IST: The covers have all come off. If we're lucky, we could actually get started in 10 minutes as scheduled. In fact, the official confirmation is that play will indeed resume at 14:10 local."
13:50 Local Time, 11:50 GMT," 17:20 IST: Good news, folks! Play is all set to resume at 14:10 local, 17:40 IST. Tea will be taken at 15:40 local. SCRATCH ALL OF THESE. Moments after the start time was fixed, the rains have returned again, Telford informs us."
13:45 Local Time, 11:45 GMT," 17:15 IST: If this is still worth cheering, the covers are coming off one more time."
13:34 Local Time, 11:34 GMT," 17:04 IST: Can you guess? Come on! You should be able to by now. Yes, that's right. It's raining again. Can the Rain Gods please make up their minds?"
13:26 Local Time, 11:26 GMT, 16:56 IST: The covers have come off and the umpires are having an inspection.
13:10 Local Time, 11:10 GMT," 16:40 IST: Well, I did warn you all to not be over-optimistic. Guess what, it's raining again and in full force."
13:05 Local Time, 11:05 GMT," 16:35 IST: The covers are coming off. Bu given the proceedings earlier today, don't get your hopes too high just yet."
12:33 Local Time, 10:33 GMT," 16:03 IST: We should have started the second session by now but unfortunately, rain continues to fall."
11:53 Local Time, 09:53 GMT," 15:23 IST: The seesaw continues, as the rain is back and that is it for the morning session. Lunch taken!"
11:45 Local Time, 09:45 GMT," 15:15 IST: The rain seems to have stopped, again. The umpires are out there to have an inspection. We might have an early lunch taken. Covers are coming off."
11:42 Local Time, 09:42 GMT," 15:12 IST: Okay, the rain has returned in emphatic style. The covers are back on. It's going to be that kind of on-and-off day I suppose."
11:36 Local Time, 09:36 GMT," 15:06 IST: Seems like the rain has stopped. The covers are coming off. However, it continues to be quite murky."
11:10 Local Time, 09:10 GMT," 14:40 IST: The rain is extremely heavy at the moment and our man at the ground Telford tells us that this is the heaviest it's been in this game so far. However, the plus point is that a strong wind is also blowing across the ground, which could take the rains away with it at some point."
11:02 Local Time, 09:02 GMT," 14:32 IST: The drizzle has gotten heavy and the umpires feel that enough is enough. They're going off. Persistent showers at the moment, not extremely heavy though, still enough to keep the players off the park. Any delay is welcome for the Proteas. On the other hand, England will be frustrated at these breaks."
Mark Wood to Elgar, no run," back of a length around the off stump channel, Elgar hangs back and blocks"
Mark Wood to Elgar, no run," short of a length around off, Elgar looks to push inside the line but is beaten as it just holds its line after pitching"
Mark Wood to Elgar, no run," shorter and slanting in around off stump, blocked out from the crease"
Mark Wood to Elgar, no run," back of a length around off, Elgar hangs back and defends it"
Mark Wood to Elgar, no run," angling into Elgar but it's sliding down the leg-side, he misses the flick"
Sam Curran to Pieter Malan, no run," shuffles across on his back foot quickly, gets behind the line and blocks down the pitch"
Sam Curran to Pieter Malan, no run," 128kph, length, across, close to off, defence worthy"
Sam Curran to Pieter Malan, no run," 81mph, yorker. Malan manages to jam his bat down in time, walking in front in his followthrough"
Sam Curran to Pieter Malan, no run," length, and a back-footed wristy push into the covers"
Sam Curran to Pieter Malan, no run," 80mph, on off, angling across, Malan presses, bat-pad stuck to cover all of it"
Sam Curran to Elgar, 1 run," 127kph, nips back in sharply off the deck, hurrying into Elgar, taking the inside-edge and trickling away round the corner"
Broad to Pieter Malan, no run," 130kph, holds its line now as it comes in on the top of middle, tucked away to leg"
Broad to Pieter Malan, no run," 79mph, a slight square up off his back foot with the away-wobbly-seam. Malan adjusts well, softening his late opened up blade to steer away towards gully"
Broad to Pieter Malan, no run," sixth-stumped, seaming away, just what you're taught to leave all your life, unless you happen to be QdK. Alas, Malan is no QdK"
Broad to Pieter Malan, no run," 130kph, length, on middle. A shuffling straight-bat"
Broad to Elgar, leg byes," 1 run, 130kph, a tad too straight from wide of the round the wicket crease. Elgar can clip away off his thighs, behind square"
Broad to Pieter Malan, 1 run," 131kph, off-lined. Malan presses in front, opens his bat face delicately late and pokes it away in front of point. Quick legs. Quick single. Quick first single"
Sam Curran to Elgar, no run," 132kph, tries a slightly surprising fuller one on middle, and the forward defences get wristy here"
Sam Curran to Elgar, no run," 78mph, top of off, Elgar does his usual -- stonewalling, high-elbowed, full batted"
Sam Curran to Elgar, no run," 130kph, forward, big stride in fact, close to the pitch of it in the smother"
A leg-slip has come in. Two normal ones., no run," 130kph, forward, big stride in fact, close to the pitch of it in the smother"
Sam Curran to Elgar, no run," 123kph, full, on off, leaning forward block"
Sam Curran to Elgar, FOUR," 133kph, strays into the legs. And easy clippings these, tickling away very fine. Yea, exactly where you don't bowl with the new ball"
Sam Curran to Elgar, no run," 131kph, full, on off, a forward falling over, overbalancing defence"
Broad to Pieter Malan, no run," 133kph, sticks out a stride, covering off, letting the fifth-stump line be"
Broad to Pieter Malan, no run," 130kph, wide, full, seaming away. Big leave"
Broad to Pieter Malan, no run," 130kph, top of middle, back foot, from the crease defences"
Broad to Pieter Malan, no run," 131kph, fourth-stump, length, and some carry through to the keeper. Malan lets it, leaving"
Broad to Pieter Malan, no run," 132kph, cuts in off the deck, past the defence and smashing him in the box -- that box where it actually hurts"
Broad to Pieter Malan, no run," length, on middle, a shuffling straight-batted block down the pitch"
Sam Curran to Elgar, no run," on the legs, full as well, clipped out to square leg"
Sam Curran to Elgar, FOUR," the squared up edge -- and there's no third slip. It's full, drawing Elgar in front and swinging away to get him twisting awkwardly in his defence, taking the outside half .. but to Elgar's credit, he's played this softly along the ground, deliberately"
Two slips. Gully., FOUR," the squared up edge -- and there's no third slip. It's full, drawing Elgar in front and swinging away to get him twisting awkwardly in his defence, taking the outside half .. but to Elgar's credit, he's played this softly along the ground, deliberately"
Sam Curran to Elgar, no run," forward, covering it and defending down the pitch"
Sam Curran to Elgar, no run," cuts back in big time, past the defence on the inside, but Elgar's not leaving behind a gate. His pad's close enough, and the ball finds the flap. The cordon wants to appeal,but no, Curran doesn't see the point"
Sam Curran to Elgar, FOUR," 125kph, a middle and leg line, but Elgar's early trigger movement across the stumps allows him to take it on his thighs and glance away firmly behind square"
Sam Curran to Elgar, no run," 127kph, length, on middle, swinging away. Elgar shuffles around big time, getting completely behind and stooping in keeping it out"
Broad to Pieter Malan, no run," beats him. Full, nipping away, just Broad things -- past the defensive prod"
Broad to Pieter Malan, no run," on the back foot, gets squared up in his defence but adjusts rather well, opening up his bat face and sticking it away towards backward point"
Broad to Pieter Malan, no run," full again, on middle now. Worth playing, and played, with a full-stoop, full-faced, forward defence"
Broad to Pieter Malan, no run," 131kph, full, wide, outside off, worth leaving, left"
Broad to Pieter Malan, no run," neatly left. It's close to off, nipping back in, but Malan's judged the length rather well and quickly on this to commit"
Broad to Pieter Malan, no run," full, slight nip back in on off. Malan lines it well to nudge away to short mid-wicket"
Pieter Malan and Elgar are at the crease. Pieter Malan is on strike. Broad will open the attack, no run," full, slight nip back in on off. Malan lines it well to nudge away to short mid-wicket"
10:27 Local Time: The follow-on is enforced. 27 minutes, 28 balls," four wickets and one whole run -- that's how brutal it's been. And a nice slap in the face for all those who thought South Africa would slog it out to ensure they aren't made to follow on. Oh slog they did, T20-like, ones completely uncalled for. So Dom Bess will take the ball and lead his side out, although it was the older ball with which he picked all those wickets. Nevertheless. The conditions are overcast, the ball will be newer and the South African batsmen clearly have been given a rude wake up call, a couple of hours earlier than they'd have expected."
Broad to Rabada, no run," 133kph, another peach. Rabada decides to stay on the back foot now, flirt awkwardly, and get squared all ends up with the nip going away, past the edge, past the top of off"
Broad to Rabada, no run," 137kph, full, and continues making a mess of their drives with the late swing going just past"
Broad to Rabada, no run," 78mph, angles in, draws Rabada in front, and straightens off the seam, just enough to not nick"
Sam Curran to Paterson, no run," 136kph, swings it back in with the angle, and not just the outside of Paterson's loose drive, but even the outside of off aren't a million miles from this"
Round the wicket now. Three slips., no run," 136kph, swings it back in with the angle, and not just the outside of Paterson's loose drive, but even the outside of off aren't a million miles from this"
Sam Curran to Paterson, no run," 124kph, beaten. Curran sucks him forward for another push through the line, and Paterson's flat-footed effort is proper number eleven, missing all ends up"
Sam Curran to Paterson, no run," 128kph, wild drive outside off. No feet, bat clearly not to the line, no connection"
Sam Curran to Rabada, 1 run," 130kph, on the legs, and clipped away round the corner. First runs .. only 91 away"
Sam Curran to Rabada, no run," 126kph, length, swinging away a touch on off. Rabada stays on the back foot, holding up a high-elbowed block down the pitch"
Sam Curran to Rabada, no run," full, slight inswing, but it's wasted down leg"
This is how it's come down: 92 runs | 4 wickets -> 92 runs | 3 wickets -> 92 runs | 2 wickets -> 92 runs | 1 wicket., no run," full, slight inswing, but it's wasted down leg"
Broad to Paterson, no run," 133kph, a shuffle, pushing out, and squirting the inside edge towards short leg"
Broad to Paterson, no run," 80mph, on middle, full again. Paterson leans further close in keeping it out"
Broad to Paterson, no run," full, on off, a hurried strange defence"
Broad to Maharaj, no run," 126kph, gets squared up a touch in his defence from the crease where he sticks out his bat face and ends up with the outside half trickling away to backward point"
Broad to Maharaj, no run," 132kph, length, angling in on off, solidly blocked, head on ball"
Sam Curran to Rabada, no run," 79mph, full, on middle, and Rabada's on a careful leaning forward defensive push down the pitch"
Sam Curran to de Kock, no run," holds its line to come in off the seam and beat the inside of de Kock's drive and pin him on the front pad. Nah, too straight"
Sam Curran to de Kock, no run," 77mph, more on off, gets a back-footed shuffle-cum-block out"
Sam Curran to de Kock, no run," length, just outside off, worth a leave"
Sam Curran to de Kock, no run," 127kph, away-swing, back of a length, safely outside off. Quinton can line up this leave"
Sam Curran [9.0-1-31-0] is back into the attack, no run," 127kph, away-swing, back of a length, safely outside off. Quinton can line up this leave"
Broad to Philander, no run," 132kph, full, off-lined, pushed, mid-off"
Broad to Philander, no run, back of a length just outside off. Philander drops his wrists neatly to sway out of it
Broad to Philander, no run," 131kph, pitches it up again, a drive now, stroking away to mid-off"
Broad to Philander, no run," length, around the fifth stump, and slight shape back in. But Philander's judged his leave well"
Broad to Philander, no run," 135kph, and a yorker right at the base of the stumps. Squeezed out"
18:01 Local Time, 16:01 GMT," 21:31 IST | Stumps: It started. It stopped. It started. It kept threatening to stop - drizzle, dipping lights, fast bowlers - but no, England have found a way to squeeze in all their overs. And it needed a spin marathon towards the end and having to use up a part-timer. But they'll be proud of what they've achieved. On a wicket that didn't turn much and where taking wickets was the real challenge (ask Nortje, the batsman), Dom Bess started off superbly in the first session, teaming up with Mark Wood in particular who continued softening up the batsmen from one end while he kept getting the rewards. South Africa fought hard, Quinton stayed resolute, Nortje kept getting hit, but stayed alive for 136 balls. Things could've been worse though. If only Ben Stokes had held on .. Anyway, it sets things up perfectly for tomorrow, with the weather too set to play a big part in this Test's outcome. Until we see you then, ta ta!!"
Dom Bess to de Kock, no run," left alone. Wastes it outside off, spinning further away .. Nevertheless, he'll lead England out"
Dom Bess to de Kock, no run," hangs behind, lining it up and bunting down the pitch"
Dom Bess to de Kock, no run," very full, and easy smotherings these"
Dom Bess to Philander, 1 run," safely clipped away, lining it up on the back foot and getting it bisecting through short leg and leg slip"
Dom Bess to Philander, no run," forward now, wristing it away to mid-on"
Dom Bess to Philander, no run," back, across, nudging it away safely to short leg"
